Year,January_p,February_p,March_p,April_p,May_p,June_p,July_p,August_p,September_p,October_p,November_p,December_p,Total_p
1943.000,0.710,1.180,0.760,0.630,0.230,0.130,0.000,0.000,0.000,0.140,1.700,0.600,6.080
1944.000,0.820,2.910,1.150,0.640,0.260,0.140,0.000,0.002,0.070,0.580,0.280,1.480,8.330
1945.000,0.460,0.820,1.010,0.020,0.420,0.000,0.230,0.040,0.002,0.480,1.140,1.330,5.950
1946.000,0.240,0.120,1.020,0.540,0.002,0.000,0.000,0.070,0.002,0.020,0.010,0.660,2.680
1947.000,0.010,0.490,1.270,1.130,0.180,0.600,0.000,0.000,0.000,0.140,0.002,0.500,4.320
1948.000,0.470,1.100,1.120,0.070,0.660,0.002,0.002,0.010,0.000,0.002,0.510,0.510,4.450
1949.000,1.750,1.040,0.510,0.470,0.020,0.000,0.030,0.000,0.610,0.220,0.580,0.320,5.550
1950.000,1.610,0.550,0.360,0.870,0.060,0.000,0.002,0.000,0.000,0.170,0.330,1.760,5.710
1951.000,2.470,0.270,2.390,1.290,0.000,0.000,0.100,0.002,0.002,0.002,1.320,1.800,9.640
1952.000,0.620,0.260,1.220,0.540,0.530,0.002,0.002,0.002,0.000,0.020,0.800,0.180,4.170
1954.000,1.860,0.250,1.240,0.060,0.002,0.002,0.000,0.000,0.000,0.000,0.500,0.570,4.480
1955.000,1.510,0.850,0.250,0.800,0.160,0.000,0.000,0.000,0.000,0.000,0.510,0.500,4.580
1956.000,0.900,0.650,0.002,0.940,0.400,0.000,0.002,0.000,0.002,1.460,0.000,0.050,4.400
1957.000,0.820,0.700,0.160,0.960,0.230,0.320,0.002,0.000,0.002,0.780,0.570,1.020,5.560
1958.000,0.930,1.550,2.050,2.230,0.880,0.002,0.000,0.010,0.560,0.002,0.380,0.020,8.610
1959.000,0.320,0.880,0.020,0.230,0.030,0.000,0.000,0.002,0.040,0.002,0.000,0.350,1.870
1960.000,1.420,1.560,0.160,0.770,0.002,0.000,0.000,0.000,0.002,0.080,3.040,0.002,7.030
1961.000,0.390,0.120,0.380,0.040,0.020,0.000,0.002,0.020,0.002,0.002,0.670,0.340,1.980
1962.000,0.590,4.420,0.310,0.020,0.070,0.000,0.000,0.000,0.020,0.230,0.002,0.002,5.660
1963.000,0.120,1.540,1.250,0.850,0.260,0.280,0.000,0.002,0.830,0.730,0.940,0.080,6.880
1964.000,0.270,0.410,0.570,0.560,0.200,0.010,0.002,0.170,0.002,0.670,0.460,0.700,4.020
1965.000,0.740,0.170,1.170,1.650,0.020,0.002,0.300,0.002,0.100,0.000,1.050,1.600,6.800
1966.000,0.700,1.140,0.290,0.000,0.002,0.002,0.002,0.002,0.030,0.002,0.880,1.580,4.620
1967.000,0.960,0.030,0.520,2.650,0.280,0.200,0.002,0.000,0.110,0.000,1.760,0.540,7.050
1968.000,0.490,0.560,1.010,0.660,0.060,0.000,0.002,0.002,0.000,1.290,0.400,0.670,5.140
1969.000,2.120,2.830,0.290,1.100,0.080,0.002,0.002,0.002,0.002,0.002,0.420,0.160,7.000
1970.000,0.570,1.560,0.480,0.160,0.000,0.002,0.002,0.000,0.000,0.002,1.700,0.710,5.180
1971.000,0.530,0.350,0.420,0.560,2.390,0.000,0.000,0.120,0.020,0.090,0.120,1.170,5.770
1972.000,0.002,0.270,0.002,0.080,0.020,1.110,0.002,0.002,0.020,0.540,1.550,0.660,4.250
1973.000,2.070,0.490,2.490,0.180,0.002,0.000,0.000,0.000,0.000,0.160,0.640,0.790,6.820
1974.000,1.160,0.130,1.530,0.700,0.002,0.000,0.002,0.000,0.000,1.820,0.510,1.190,7.040
1975.000,0.060,1.600,0.600,0.930,0.002,0.000,0.000,0.050,0.002,0.480,0.250,0.130,4.100
1976.000,0.050,1.640,0.440,0.760,0.550,0.020,0.002,0.002,1.060,0.110,0.310,0.130,5.070
1977.000,0.580,0.070,1.280,0.002,0.590,0.060,0.020,1.030,0.000,0.002,0.090,1.800,5.520
